artist_name,artist_id,album_id,album_type,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.499,0.462,0,-5.308,1,0.0312,0.801,0,0.0946,0.599,127.698,3ko9jEHNt4O5fjKN65ULJp,https://api.spotify.com/v1/audio-analysis/3ko9jEHNt4O5fjKN65ULJp,4,1,157710,TRUE,https://api.spotify.com/v1/tracks/3ko9jEHNt4O5fjKN65ULJp,FALSE,shut up,NA,1,track,spotify:track:3ko9jEHNt4O5fjKN65ULJp,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp,Positions,C,major,C major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978,6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,4,1,173710,TRUE,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,FALSE,34+35,NA,2,track,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,Positions,C,major,C major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.789,0.742,10,-5.664,0,0.0652,0.0681,0,0.166,0.661,116.965,5GkQIP5mWPi4KZLLXeuFTT,https://api.spotify.com/v1/audio-analysis/5GkQIP5mWPi4KZLLXeuFTT,4,1,167989,TRUE,https://api.spotify.com/v1/tracks/5GkQIP5mWPi4KZLLXeuFTT,FALSE,motive (with Doja Cat),NA,3,track,spotify:track:5GkQIP5mWPi4KZLLXeuFTT,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT,Positions,A#,minor,A# minor
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.719,0.607,8,-5.156,1,0.165,0.08,0,0.125,0.464,128.006,7Dx9Z6Aon1qPS2N0rHSWTe,https://api.spotify.com/v1/audio-analysis/7Dx9Z6Aon1qPS2N0rHSWTe,4,1,149900,TRUE,https://api.spotify.com/v1/tracks/7Dx9Z6Aon1qPS2N0rHSWTe,FALSE,just like magic,NA,4,track,spotify:track:7Dx9Z6Aon1qPS2N0rHSWTe,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe,Positions,G#,major,G# major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.411,0.522,0,-7.295,1,0.0981,0.519,0,0.398,0.382,88.332,7E1jVNoWuemqUryI4FxsVD,https://api.spotify.com/v1/audio-analysis/7E1jVNoWuemqUryI4FxsVD,1,1,239949,FALSE,https://api.spotify.com/v1/tracks/7E1jVNoWuemqUryI4FxsVD,FALSE,off the table (with The Weeknd),NA,5,track,spotify:track:7E1jVNoWuemqUryI4FxsVD,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD,Positions,C,major,C major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.739,0.516,0,-7.154,1,0.053900000000000003,0.67,0,0.151,0.434,120.109,2IKJtXeR5UsaUjZB46fTOK,https://api.spotify.com/v1/audio-analysis/2IKJtXeR5UsaUjZB46fTOK,4,1,183874,TRUE,https://api.spotify.com/v1/tracks/2IKJtXeR5UsaUjZB46fTOK,FALSE,six thirty,NA,6,track,spotify:track:2IKJtXeR5UsaUjZB46fTOK,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK,Positions,C,major,C major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.552,0.599,1,-5.75,0,0.0404,0.0703,0,0.0986,0.0916,161.884,14gkWVFMwdxBMyqBw1wmIg,https://api.spotify.com/v1/audio-analysis/14gkWVFMwdxBMyqBw1wmIg,4,1,208457,FALSE,https://api.spotify.com/v1/tracks/14gkWVFMwdxBMyqBw1wmIg,FALSE,safety net (feat. Ty Dolla $ign),NA,7,track,spotify:track:14gkWVFMwdxBMyqBw1wmIg,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg,Positions,C#,minor,C# minor
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.686,0.526,0,-6.842,1,0.0374,0.0815,7.75e-6,0.144,0.372,92.013,6u7gmPOz7pzzaeR9xSBpsR,https://api.spotify.com/v1/audio-analysis/6u7gmPOz7pzzaeR9xSBpsR,4,1,158436,FALSE,https://api.spotify.com/v1/tracks/6u7gmPOz7pzzaeR9xSBpsR,FALSE,my hair,NA,8,track,spotify:track:6u7gmPOz7pzzaeR9xSBpsR,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR,Positions,C,major,C major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.772,0.506,6,-6.558,0,0.139,0.0814,1.1e-5,0.182,0.456,127.894,0sci7ppTZFm4mjcH3nu8yO,https://api.spotify.com/v1/audio-analysis/0sci7ppTZFm4mjcH3nu8yO,4,1,200732,TRUE,https://api.spotify.com/v1/tracks/0sci7ppTZFm4mjcH3nu8yO,FALSE,nasty,NA,9,track,spotify:track:0sci7ppTZFm4mjcH3nu8yO,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO,Positions,F#,minor,F# minor
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.688,0.455,11,-8.632,0,0.199,0.186,0,0.0794,0.557,87.865,1whfVLMKWqAX3uk97VXsNN,https://api.spotify.com/v1/audio-analysis/1whfVLMKWqAX3uk97VXsNN,4,1,132278,FALSE,https://api.spotify.com/v1/tracks/1whfVLMKWqAX3uk97VXsNN,FALSE,west side,NA,10,track,spotify:track:1whfVLMKWqAX3uk97VXsNN,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN,Positions,B,minor,B minor
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.688,0.573,10,-5.03,0,0.208,0.0686,0,0.0749,0.553,110.034,6NYtLvyThMT0oALFdJFdzq,https://api.spotify.com/v1/audio-analysis/6NYtLvyThMT0oALFdJFdzq,4,1,179860,TRUE,https://api.spotify.com/v1/tracks/6NYtLvyThMT0oALFdJFdzq,FALSE,love language,NA,11,track,spotify:track:6NYtLvyThMT0oALFdJFdzq,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq,Positions,A#,minor,A# minor
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0,4,1,172324,TRUE,https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0,FALSE,positions,NA,12,track,spotify:track:35mvY5S1H3J2QZyna3TFe0,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Positions,C,major,C major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.624,0.672,0,-5.334,1,0.106,0.0967,0,0.155,0.26,159.852,0q85C1JiECyYIQthz1posA,https://api.spotify.com/v1/audio-analysis/0q85C1JiECyYIQthz1posA,4,1,146958,TRUE,https://api.spotify.com/v1/tracks/0q85C1JiECyYIQthz1posA,FALSE,obvious,NA,13,track,spotify:track:0q85C1JiECyYIQthz1posA,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA,Positions,C,major,C major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3euz4vS7ezKGnNSwgyvKcd,album,2020-10-30,2020,day,0.487,0.534,0,-5.664,0,0.0555,0.36,0,0.1,0.173,131.798,3UoULw70kMsiVXxW0L3A33,https://api.spotify.com/v1/audio-analysis/3UoULw70kMsiVXxW0L3A33,4,1,201882,FALSE,https://api.spotify.com/v1/tracks/3UoULw70kMsiVXxW0L3A33,FALSE,pov,NA,14,track,spotify:track:3UoULw70kMsiVXxW0L3A33,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33,Positions,C,minor,C minor
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3BSzygCIET0gzTTIs7iB3y,album,2020-10-30,2020,day,0.54,0.434,0,-5.229,1,0.0308,0.765,0,0.083,0.62,127.738,0egpmBxmeALIzcq2C1BOb7,https://api.spotify.com/v1/audio-analysis/0egpmBxmeALIzcq2C1BOb7,4,1,157710,FALSE,https://api.spotify.com/v1/tracks/0egpmBxmeALIzcq2C1BOb7,FALSE,shut up,NA,1,track,spotify:track:0egpmBxmeALIzcq2C1BOb7,https://open.spotify.com/track/0egpmBxmeALIzcq2C1BOb7,Positions,C,major,C major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3BSzygCIET0gzTTIs7iB3y,album,2020-10-30,2020,day,0.822,0.577,5,-6.449,1,0.0693,0.264,0,0.265,0.496,110.005,71IEKZtnuNR9W0Sl2CsvZU,https://api.spotify.com/v1/audio-analysis/71IEKZtnuNR9W0Sl2CsvZU,4,1,173710,FALSE,https://api.spotify.com/v1/tracks/71IEKZtnuNR9W0Sl2CsvZU,FALSE,34+35,NA,2,track,spotify:track:71IEKZtnuNR9W0Sl2CsvZU,https://open.spotify.com/track/71IEKZtnuNR9W0Sl2CsvZU,Positions,F,major,F major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3BSzygCIET0gzTTIs7iB3y,album,2020-10-30,2020,day,0.793,0.751,10,-5.67,0,0.0795,0.0752,0,0.173,0.646,116.966,3Hgk2MiY3hIIp6Hmf1fxeW,https://api.spotify.com/v1/audio-analysis/3Hgk2MiY3hIIp6Hmf1fxeW,4,1,167989,FALSE,https://api.spotify.com/v1/tracks/3Hgk2MiY3hIIp6Hmf1fxeW,FALSE,motive (with Doja Cat),NA,3,track,spotify:track:3Hgk2MiY3hIIp6Hmf1fxeW,https://open.spotify.com/track/3Hgk2MiY3hIIp6Hmf1fxeW,Positions,A#,minor,A# minor
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3BSzygCIET0gzTTIs7iB3y,album,2020-10-30,2020,day,0.69,0.605,8,-5.108,1,0.206,0.114,0,0.122,0.437,128.03,7miR3W96BChuGCX8NZtz3a,https://api.spotify.com/v1/audio-analysis/7miR3W96BChuGCX8NZtz3a,4,1,149900,FALSE,https://api.spotify.com/v1/tracks/7miR3W96BChuGCX8NZtz3a,FALSE,just like magic,NA,4,track,spotify:track:7miR3W96BChuGCX8NZtz3a,https://open.spotify.com/track/7miR3W96BChuGCX8NZtz3a,Positions,G#,major,G# major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3BSzygCIET0gzTTIs7iB3y,album,2020-10-30,2020,day,0.555,0.523,0,-7.289,1,0.0666,0.513,0,0.402,0.389,100.57,0K2UmT0JOcEaLssWda2703,https://api.spotify.com/v1/audio-analysis/0K2UmT0JOcEaLssWda2703,4,1,239949,FALSE,https://api.spotify.com/v1/tracks/0K2UmT0JOcEaLssWda2703,FALSE,off the table (with The Weeknd),NA,5,track,spotify:track:0K2UmT0JOcEaLssWda2703,https://open.spotify.com/track/0K2UmT0JOcEaLssWda2703,Positions,C,major,C major
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3BSzygCIET0gzTTIs7iB3y,album,2020-10-30,2020,day,0.744,0.516,0,-7.179,1,0.0481,0.615,0,0.147,0.416,120.057,0ooey28NPvpBWZKwOob963,https://api.spotify.com/v1/audio-analysis/0ooey28NPvpBWZKwOob963,4,1,183874,FALSE,https://api.spotify.com/v1/tracks/0ooey28NPvpBWZKwOob963,FALSE,six thirty,NA,6,track,spotify:track:0ooey28NPvpBWZKwOob963,https://open.spotify.com/track/0ooey28NPvpBWZKwOob963,Positions,C,major,C major
