artist_name,artist_id,album_id,album_type,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.632,0.728,6,-5.759,0,0.0604,0.00308,0,0.278,0.252,117.981,6WBwHTGuBW3Da6pioy4v8W,https://api.spotify.com/v1/audio-analysis/6WBwHTGuBW3Da6pioy4v8W,4,1,233373,FALSE,https://api.spotify.com/v1/tracks/6WBwHTGuBW3Da6pioy4v8W,FALSE,This Love Isn't Crazy,NA,1,track,spotify:track:6WBwHTGuBW3Da6pioy4v8W,https://open.spotify.com/track/6WBwHTGuBW3Da6pioy4v8W,Dedicated Side B,F#,minor,F# minor
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.848,0.463,6,-5.687,0,0.202,0.0528,1.95e-5,0.0551,0.662,91.457,7cOhYgooO5UXE9WIz8rHMY,https://api.spotify.com/v1/audio-analysis/7cOhYgooO5UXE9WIz8rHMY,4,1,198440,FALSE,https://api.spotify.com/v1/tracks/7cOhYgooO5UXE9WIz8rHMY,FALSE,Window,NA,2,track,spotify:track:7cOhYgooO5UXE9WIz8rHMY,https://open.spotify.com/track/7cOhYgooO5UXE9WIz8rHMY,Dedicated Side B,F#,minor,F# minor
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.83,0.576,7,-7.332,1,0.151,0.448,9.33e-5,0.102,0.898,152.096,4Zl6ZoZBXXSvOc873Wu9m6,https://api.spotify.com/v1/audio-analysis/4Zl6ZoZBXXSvOc873Wu9m6,4,1,217106,FALSE,https://api.spotify.com/v1/tracks/4Zl6ZoZBXXSvOc873Wu9m6,FALSE,Felt This Way,NA,3,track,spotify:track:4Zl6ZoZBXXSvOc873Wu9m6,https://open.spotify.com/track/4Zl6ZoZBXXSvOc873Wu9m6,Dedicated Side B,G,major,G major
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.819,0.721,5,-4.403,0,0.169,0.0489,1.52e-6,0.283,0.711,126.076,5PJSsZbCTyjPXoTNBLb4dF,https://api.spotify.com/v1/audio-analysis/5PJSsZbCTyjPXoTNBLb4dF,4,1,217306,FALSE,https://api.spotify.com/v1/tracks/5PJSsZbCTyjPXoTNBLb4dF,FALSE,Stay Away,NA,4,track,spotify:track:5PJSsZbCTyjPXoTNBLb4dF,https://open.spotify.com/track/5PJSsZbCTyjPXoTNBLb4dF,Dedicated Side B,F,minor,F minor
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.834,0.679,0,-4.845,1,0.0685,0.0516,0,0.0244,0.801,113.019,3p5qNWs1n1c0ypVYnWbcyV,https://api.spotify.com/v1/audio-analysis/3p5qNWs1n1c0ypVYnWbcyV,4,1,214466,FALSE,https://api.spotify.com/v1/tracks/3p5qNWs1n1c0ypVYnWbcyV,FALSE,This Is What They Say,NA,5,track,spotify:track:3p5qNWs1n1c0ypVYnWbcyV,https://open.spotify.com/track/3p5qNWs1n1c0ypVYnWbcyV,Dedicated Side B,C,major,C major
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.641,0.52,5,-7.742,0,0.0565,0.679,1.02e-5,0.119,0.567,132.039,0FffK6l3s5ImDe2nPyFCjT,https://api.spotify.com/v1/audio-analysis/0FffK6l3s5ImDe2nPyFCjT,4,1,252653,FALSE,https://api.spotify.com/v1/tracks/0FffK6l3s5ImDe2nPyFCjT,FALSE,Heartbeat,NA,6,track,spotify:track:0FffK6l3s5ImDe2nPyFCjT,https://open.spotify.com/track/0FffK6l3s5ImDe2nPyFCjT,Dedicated Side B,F,minor,F minor
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.703,0.74,2,-5.266,0,0.0336,0.00717,8.87e-6,0.131,0.701,120.026,38ts357BqWNvltLUGBkSZL,https://api.spotify.com/v1/audio-analysis/38ts357BqWNvltLUGBkSZL,4,1,195986,FALSE,https://api.spotify.com/v1/tracks/38ts357BqWNvltLUGBkSZL,FALSE,Summer Love,NA,7,track,spotify:track:38ts357BqWNvltLUGBkSZL,https://open.spotify.com/track/38ts357BqWNvltLUGBkSZL,Dedicated Side B,D,minor,D minor
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.872,0.574,2,-5.897,0,0.0394,0.0831,3.25e-5,0.0733,0.687,113.992,1JKguWRT308CZwK92ycUDa,https://api.spotify.com/v1/audio-analysis/1JKguWRT308CZwK92ycUDa,4,1,132146,FALSE,https://api.spotify.com/v1/tracks/1JKguWRT308CZwK92ycUDa,FALSE,Fake Mona Lisa,NA,8,track,spotify:track:1JKguWRT308CZwK92ycUDa,https://open.spotify.com/track/1JKguWRT308CZwK92ycUDa,Dedicated Side B,D,minor,D minor
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.701,0.908,1,-3.54,0,0.0942,3.43e-4,6.82e-4,0.0607,0.545,154.94,3rPRHzt8YLUoZKynciKfnw,https://api.spotify.com/v1/audio-analysis/3rPRHzt8YLUoZKynciKfnw,4,1,233813,FALSE,https://api.spotify.com/v1/tracks/3rPRHzt8YLUoZKynciKfnw,FALSE,Let's Sort The Whole Thing Out,NA,9,track,spotify:track:3rPRHzt8YLUoZKynciKfnw,https://open.spotify.com/track/3rPRHzt8YLUoZKynciKfnw,Dedicated Side B,C#,minor,C# minor
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.589,0.716,0,-7.944,1,0.0563,0.202,3.4e-5,0.0711,0.408,89.969,7xFelLs2KbkZZrIeRzaP3x,https://api.spotify.com/v1/audio-analysis/7xFelLs2KbkZZrIeRzaP3x,4,1,223986,FALSE,https://api.spotify.com/v1/tracks/7xFelLs2KbkZZrIeRzaP3x,FALSE,Comeback,NA,10,track,spotify:track:7xFelLs2KbkZZrIeRzaP3x,https://open.spotify.com/track/7xFelLs2KbkZZrIeRzaP3x,Dedicated Side B,C,major,C major
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.755,0.662,10,-5.579,1,0.0635,0.0545,2.56e-4,0.121,0.607,109.937,0hdqfBwotkHclaf72sI0RI,https://api.spotify.com/v1/audio-analysis/0hdqfBwotkHclaf72sI0RI,4,1,196173,FALSE,https://api.spotify.com/v1/tracks/0hdqfBwotkHclaf72sI0RI,FALSE,Solo,NA,11,track,spotify:track:0hdqfBwotkHclaf72sI0RI,https://open.spotify.com/track/0hdqfBwotkHclaf72sI0RI,Dedicated Side B,A#,major,A# major
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1fnvV8n3ol42FcUCrAlu8M,album,2020-05-21,2020,day,0.675,0.761,6,-7.89,0,0.0362,0.193,0.165,0.114,0.721,98.011,7izQWL2wRlliiq4KxWkKIY,https://api.spotify.com/v1/audio-analysis/7izQWL2wRlliiq4KxWkKIY,4,1,293293,FALSE,https://api.spotify.com/v1/tracks/7izQWL2wRlliiq4KxWkKIY,FALSE,Now I Don't Hate California After All,NA,12,track,spotify:track:7izQWL2wRlliiq4KxWkKIY,https://open.spotify.com/track/7izQWL2wRlliiq4KxWkKIY,Dedicated Side B,F#,minor,F# minor
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,7oHKKCXCFIv3J1Yh5F08pu,album,2020-05-21,2020,day,0.632,0.728,6,-5.759,0,0.0604,0.00308,0,0.278,0.252,117.981,03o4HPzUwftpgAPNQSuaBS,https://api.spotify.com/v1/audio-analysis/03o4HPzUwftpgAPNQSuaBS,4,1,233373,FALSE,https://api.spotify.com/v1/tracks/03o4HPzUwftpgAPNQSuaBS,FALSE,This Love Isn't Crazy,NA,1,track,spotify:track:03o4HPzUwftpgAPNQSuaBS,https://open.spotify.com/track/03o4HPzUwftpgAPNQSuaBS,Dedicated Side B,F#,minor,F# minor
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,7oHKKCXCFIv3J1Yh5F08pu,album,2020-05-21,2020,day,0.848,0.463,6,-5.687,0,0.202,0.0528,1.95e-5,0.0551,0.662,91.457,1oRUYnECbObJ6iQip1qvZR,https://api.spotify.com/v1/audio-analysis/1oRUYnECbObJ6iQip1qvZR,4,1,198440,FALSE,https://api.spotify.com/v1/tracks/1oRUYnECbObJ6iQip1qvZR,FALSE,Window,NA,2,track,spotify:track:1oRUYnECbObJ6iQip1qvZR,https://open.spotify.com/track/1oRUYnECbObJ6iQip1qvZR,Dedicated Side B,F#,minor,F# minor
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,7oHKKCXCFIv3J1Yh5F08pu,album,2020-05-21,2020,day,0.83,0.576,7,-7.332,1,0.151,0.448,9.33e-5,0.102,0.898,152.096,6gynJ5Th3rGXAt1IHBAiU3,https://api.spotify.com/v1/audio-analysis/6gynJ5Th3rGXAt1IHBAiU3,4,1,217106,FALSE,https://api.spotify.com/v1/tracks/6gynJ5Th3rGXAt1IHBAiU3,FALSE,Felt This Way,NA,3,track,spotify:track:6gynJ5Th3rGXAt1IHBAiU3,https://open.spotify.com/track/6gynJ5Th3rGXAt1IHBAiU3,Dedicated Side B,G,major,G major
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,7oHKKCXCFIv3J1Yh5F08pu,album,2020-05-21,2020,day,0.819,0.721,5,-4.403,0,0.169,0.0489,1.52e-6,0.283,0.711,126.076,0z7Cp31iutNj2Gp8o85cbI,https://api.spotify.com/v1/audio-analysis/0z7Cp31iutNj2Gp8o85cbI,4,1,217306,FALSE,https://api.spotify.com/v1/tracks/0z7Cp31iutNj2Gp8o85cbI,FALSE,Stay Away,NA,4,track,spotify:track:0z7Cp31iutNj2Gp8o85cbI,https://open.spotify.com/track/0z7Cp31iutNj2Gp8o85cbI,Dedicated Side B,F,minor,F minor
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,7oHKKCXCFIv3J1Yh5F08pu,album,2020-05-21,2020,day,0.834,0.679,0,-4.845,1,0.0685,0.0516,0,0.0244,0.801,113.019,15Dsy8ojgto8ie8kTfTmQn,https://api.spotify.com/v1/audio-analysis/15Dsy8ojgto8ie8kTfTmQn,4,1,214466,FALSE,https://api.spotify.com/v1/tracks/15Dsy8ojgto8ie8kTfTmQn,FALSE,This Is What They Say,NA,5,track,spotify:track:15Dsy8ojgto8ie8kTfTmQn,https://open.spotify.com/track/15Dsy8ojgto8ie8kTfTmQn,Dedicated Side B,C,major,C major
