artist_name,artist_id,album_id,album_type,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.473,0.824,7,-3.68,0,0.163,0.482,0,0.605,0.374,77.888,3IvMYBE7A3c7to1aEcfFJk,https://api.spotify.com/v1/audio-analysis/3IvMYBE7A3c7to1aEcfFJk,4,1,222928,TRUE,https://api.spotify.com/v1/tracks/3IvMYBE7A3c7to1aEcfFJk,FALSE,Deep Pockets,NA,1,track,spotify:track:3IvMYBE7A3c7to1aEcfFJk,https://open.spotify.com/track/3IvMYBE7A3c7to1aEcfFJk,Dark Lane Demo Tapes,G,minor,G minor
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.41,0.82,1,-6.808,1,0.533,0.252,0,0.538,0.526,170.718,5TCBWmEBrin7etRa4Lswr1,https://api.spotify.com/v1/audio-analysis/5TCBWmEBrin7etRa4Lswr1,4,1,223124,TRUE,https://api.spotify.com/v1/tracks/5TCBWmEBrin7etRa4Lswr1,FALSE,When To Say When,NA,2,track,spotify:track:5TCBWmEBrin7etRa4Lswr1,https://open.spotify.com/track/5TCBWmEBrin7etRa4Lswr1,Dark Lane Demo Tapes,C#,major,C# major
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.735,0.449,10,-7.507,1,0.347,0.629,0,0.113,0.0397,122.947,4wVOKKEHUJxHCFFNUWDn0B,https://api.spotify.com/v1/audio-analysis/4wVOKKEHUJxHCFFNUWDn0B,4,1,220487,TRUE,https://api.spotify.com/v1/tracks/4wVOKKEHUJxHCFFNUWDn0B,FALSE,Chicago Freestyle (feat. Giveon),NA,3,track,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,Dark Lane Demo Tapes,A#,major,A# major
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.458,0.452,9,-9.299,0,0.047,0.342,1.94e-5,0.0703,0.316,86.318,3Q4gttWQ6hxqWOa3tHoTNi,https://api.spotify.com/v1/audio-analysis/3Q4gttWQ6hxqWOa3tHoTNi,4,1,269680,TRUE,https://api.spotify.com/v1/tracks/3Q4gttWQ6hxqWOa3tHoTNi,FALSE,Not You Too (feat. Chris Brown),NA,4,track,spotify:track:3Q4gttWQ6hxqWOa3tHoTNi,https://open.spotify.com/track/3Q4gttWQ6hxqWOa3tHoTNi,Dark Lane Demo Tapes,A,minor,A minor
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-6,0.113,0.845,81.604,466cKvZn1j45IpxDdYZqdA,https://api.spotify.com/v1/audio-analysis/466cKvZn1j45IpxDdYZqdA,4,1,247058,TRUE,https://api.spotify.com/v1/tracks/466cKvZn1j45IpxDdYZqdA,FALSE,Toosie Slide,NA,5,track,spotify:track:466cKvZn1j45IpxDdYZqdA,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,Dark Lane Demo Tapes,C#,minor,C# minor
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.812,0.506,5,-7.706,0,0.116,0.281,0,0.325,0.554,145.074,7eYAHC0RbBF9eaqWzT34Aq,https://api.spotify.com/v1/audio-analysis/7eYAHC0RbBF9eaqWzT34Aq,4,1,237945,TRUE,https://api.spotify.com/v1/tracks/7eYAHC0RbBF9eaqWzT34Aq,FALSE,Desires (with Future),NA,6,track,spotify:track:7eYAHC0RbBF9eaqWzT34Aq,https://open.spotify.com/track/7eYAHC0RbBF9eaqWzT34Aq,Dark Lane Demo Tapes,F,minor,F minor
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.864,0.477,10,-5.786,1,0.224,0.201,0,0.182,0.5,86.46,5H4mXWKcicuLKDn4Jy0sK7,https://api.spotify.com/v1/audio-analysis/5H4mXWKcicuLKDn4Jy0sK7,4,1,192931,TRUE,https://api.spotify.com/v1/tracks/5H4mXWKcicuLKDn4Jy0sK7,FALSE,Time Flies,NA,7,track,spotify:track:5H4mXWKcicuLKDn4Jy0sK7,https://open.spotify.com/track/5H4mXWKcicuLKDn4Jy0sK7,Dark Lane Demo Tapes,A#,major,A# major
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.881,0.636,7,-4.629,1,0.287,0.00606,0,0.111,0.715,163.949,3KixNgUEaDtrKJVzdqjU5q,https://api.spotify.com/v1/audio-analysis/3KixNgUEaDtrKJVzdqjU5q,4,1,152195,TRUE,https://api.spotify.com/v1/tracks/3KixNgUEaDtrKJVzdqjU5q,FALSE,Landed,NA,8,track,spotify:track:3KixNgUEaDtrKJVzdqjU5q,https://open.spotify.com/track/3KixNgUEaDtrKJVzdqjU5q,Dark Lane Demo Tapes,G,major,G major
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.718,0.706,1,-5.709,1,0.06,0.0128,0,0.352,0.815,170.004,5fHrHoJKfCgBd35zwIBmUK,https://api.spotify.com/v1/audio-analysis/5fHrHoJKfCgBd35zwIBmUK,4,1,189176,TRUE,https://api.spotify.com/v1/tracks/5fHrHoJKfCgBd35zwIBmUK,FALSE,D4L,NA,9,track,spotify:track:5fHrHoJKfCgBd35zwIBmUK,https://open.spotify.com/track/5fHrHoJKfCgBd35zwIBmUK,Dark Lane Demo Tapes,C#,major,C# major
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.825,0.373,5,-5.532,0,0.108,0.163,0,0.368,0.12,77.271,6Kj17Afjo1OKJYpf5VzCeo,https://api.spotify.com/v1/audio-analysis/6Kj17Afjo1OKJYpf5VzCeo,4,1,149077,TRUE,https://api.spotify.com/v1/tracks/6Kj17Afjo1OKJYpf5VzCeo,FALSE,Pain 1993 (with Playboi Carti),NA,10,track,spotify:track:6Kj17Afjo1OKJYpf5VzCeo,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo,Dark Lane Demo Tapes,F,minor,F minor
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.551,0.57,1,-7.385,0,0.351,0.28,0,0.424,0.505,85.687,6fLVTVaHWaEfVKfEgbkf4D,https://api.spotify.com/v1/audio-analysis/6fLVTVaHWaEfVKfEgbkf4D,4,1,271183,TRUE,https://api.spotify.com/v1/tracks/6fLVTVaHWaEfVKfEgbkf4D,FALSE,Losses,NA,11,track,spotify:track:6fLVTVaHWaEfVKfEgbkf4D,https://open.spotify.com/track/6fLVTVaHWaEfVKfEgbkf4D,Dark Lane Demo Tapes,C#,minor,C# minor
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.787,0.477,6,-7.837,0,0.199,0.768,0,0.104,0.476,80.506,0YkUwXxnTkeJBvt5upeEtP,https://api.spotify.com/v1/audio-analysis/0YkUwXxnTkeJBvt5upeEtP,4,1,234782,TRUE,https://api.spotify.com/v1/tracks/0YkUwXxnTkeJBvt5upeEtP,FALSE,From Florida With Love,NA,12,track,spotify:track:0YkUwXxnTkeJBvt5upeEtP,https://open.spotify.com/track/0YkUwXxnTkeJBvt5upeEtP,Dark Lane Demo Tapes,F#,minor,F# minor
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.543,0.766,0,-3.387,0,0.343,0.423,0,0.155,0.729,106.869,05aZ9sAU1YXndHv0FMi9iW,https://api.spotify.com/v1/audio-analysis/05aZ9sAU1YXndHv0FMi9iW,3,1,204805,TRUE,https://api.spotify.com/v1/tracks/05aZ9sAU1YXndHv0FMi9iW,FALSE,Demons (feat. Fivio Foreign & Sosa Geek),NA,13,track,spotify:track:05aZ9sAU1YXndHv0FMi9iW,https://open.spotify.com/track/05aZ9sAU1YXndHv0FMi9iW,Dark Lane Demo Tapes,C,minor,C minor
Drake,3TVXtAsR1Inumwj472S9r4,6OQ9gBfg5EXeNAEwGSs6jK,album,2020-05-01,2020,day,0.749,0.792,10,-4.151,0,0.0826,0.292,0,0.109,0.239,144.064,1I55Ea0zVoSKs6MqW7DQ3i,https://api.spotify.com/v1/audio-analysis/1I55Ea0zVoSKs6MqW7DQ3i,4,1,180000,TRUE,https://api.spotify.com/v1/tracks/1I55Ea0zVoSKs6MqW7DQ3i,FALSE,War,NA,14,track,spotify:track:1I55Ea0zVoSKs6MqW7DQ3i,https://open.spotify.com/track/1I55Ea0zVoSKs6MqW7DQ3i,Dark Lane Demo Tapes,A#,minor,A# minor
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.491,0.821,7,-3.712,0,0.18,0.49,0,0.444,0.357,78.164,4C1NLEUQTl3HKNP8DNjpMU,https://api.spotify.com/v1/audio-analysis/4C1NLEUQTl3HKNP8DNjpMU,4,1,222928,FALSE,https://api.spotify.com/v1/tracks/4C1NLEUQTl3HKNP8DNjpMU,FALSE,Deep Pockets,NA,1,track,spotify:track:4C1NLEUQTl3HKNP8DNjpMU,https://open.spotify.com/track/4C1NLEUQTl3HKNP8DNjpMU,Dark Lane Demo Tapes,G,minor,G minor
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.41,0.823,1,-6.856,1,0.53,0.216,0,0.538,0.529,170.343,5R421oloEo7pgT1uuO6P5u,https://api.spotify.com/v1/audio-analysis/5R421oloEo7pgT1uuO6P5u,4,1,223124,FALSE,https://api.spotify.com/v1/tracks/5R421oloEo7pgT1uuO6P5u,FALSE,When To Say When,NA,2,track,spotify:track:5R421oloEo7pgT1uuO6P5u,https://open.spotify.com/track/5R421oloEo7pgT1uuO6P5u,Dark Lane Demo Tapes,C#,major,C# major
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.745,0.446,2,-7.518,0,0.326,0.619,0,0.113,0.0396,122.982,75VJBp3JE7W3oKoFeq1esH,https://api.spotify.com/v1/audio-analysis/75VJBp3JE7W3oKoFeq1esH,4,1,220487,FALSE,https://api.spotify.com/v1/tracks/75VJBp3JE7W3oKoFeq1esH,FALSE,Chicago Freestyle (feat. Giveon),NA,3,track,spotify:track:75VJBp3JE7W3oKoFeq1esH,https://open.spotify.com/track/75VJBp3JE7W3oKoFeq1esH,Dark Lane Demo Tapes,D,minor,D minor
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.487,0.466,9,-9.257,0,0.0419,0.328,5.43e-5,0.072,0.352,86.83,6GVZ7A3IWkPNuG5FdcRE7O,https://api.spotify.com/v1/audio-analysis/6GVZ7A3IWkPNuG5FdcRE7O,4,1,269680,FALSE,https://api.spotify.com/v1/tracks/6GVZ7A3IWkPNuG5FdcRE7O,FALSE,Not You Too (feat. Chris Brown),NA,4,track,spotify:track:6GVZ7A3IWkPNuG5FdcRE7O,https://open.spotify.com/track/6GVZ7A3IWkPNuG5FdcRE7O,Dark Lane Demo Tapes,A,minor,A minor
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.83,0.469,1,-8.899,0,0.216,0.283,4.58e-6,0.113,0.829,81.615,7elj3cJvac6NnDKcCOXflk,https://api.spotify.com/v1/audio-analysis/7elj3cJvac6NnDKcCOXflk,4,1,247058,FALSE,https://api.spotify.com/v1/tracks/7elj3cJvac6NnDKcCOXflk,FALSE,Toosie Slide,NA,5,track,spotify:track:7elj3cJvac6NnDKcCOXflk,https://open.spotify.com/track/7elj3cJvac6NnDKcCOXflk,Dark Lane Demo Tapes,C#,minor,C# minor
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.814,0.501,5,-7.722,0,0.111,0.282,0,0.325,0.526,145.034,5wWzslCFGlDuhJ4oKgS8bc,https://api.spotify.com/v1/audio-analysis/5wWzslCFGlDuhJ4oKgS8bc,4,1,237945,FALSE,https://api.spotify.com/v1/tracks/5wWzslCFGlDuhJ4oKgS8bc,FALSE,Desires (with Future),NA,6,track,spotify:track:5wWzslCFGlDuhJ4oKgS8bc,https://open.spotify.com/track/5wWzslCFGlDuhJ4oKgS8bc,Dark Lane Demo Tapes,F,minor,F minor
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.863,0.468,0,-5.757,0,0.247,0.231,0,0.181,0.514,86.455,16sWMhG5z99l7iHFxJ3zt9,https://api.spotify.com/v1/audio-analysis/16sWMhG5z99l7iHFxJ3zt9,4,1,192931,FALSE,https://api.spotify.com/v1/tracks/16sWMhG5z99l7iHFxJ3zt9,FALSE,Time Flies,NA,7,track,spotify:track:16sWMhG5z99l7iHFxJ3zt9,https://open.spotify.com/track/16sWMhG5z99l7iHFxJ3zt9,Dark Lane Demo Tapes,C,minor,C minor
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.873,0.633,7,-4.683,1,0.287,0.00644,0,0.111,0.665,164.018,0y7NZkFE2vSlISSWOKs7FY,https://api.spotify.com/v1/audio-analysis/0y7NZkFE2vSlISSWOKs7FY,4,1,152195,FALSE,https://api.spotify.com/v1/tracks/0y7NZkFE2vSlISSWOKs7FY,FALSE,Landed,NA,8,track,spotify:track:0y7NZkFE2vSlISSWOKs7FY,https://open.spotify.com/track/0y7NZkFE2vSlISSWOKs7FY,Dark Lane Demo Tapes,G,major,G major
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.724,0.698,1,-5.391,1,0.065,0.0108,0,0.36,0.808,170.045,27vlgodvurZRA7ZoE0SYgW,https://api.spotify.com/v1/audio-analysis/27vlgodvurZRA7ZoE0SYgW,4,1,184879,FALSE,https://api.spotify.com/v1/tracks/27vlgodvurZRA7ZoE0SYgW,FALSE,D4L,NA,9,track,spotify:track:27vlgodvurZRA7ZoE0SYgW,https://open.spotify.com/track/27vlgodvurZRA7ZoE0SYgW,Dark Lane Demo Tapes,C#,major,C# major
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.815,0.385,1,-5.654,1,0.128,0.145,0,0.368,0.109,77.293,3h4DgeqD7d2Pu8QF0j7NEH,https://api.spotify.com/v1/audio-analysis/3h4DgeqD7d2Pu8QF0j7NEH,4,1,149077,FALSE,https://api.spotify.com/v1/tracks/3h4DgeqD7d2Pu8QF0j7NEH,FALSE,Pain 1993 (with Playboi Carti),NA,10,track,spotify:track:3h4DgeqD7d2Pu8QF0j7NEH,https://open.spotify.com/track/3h4DgeqD7d2Pu8QF0j7NEH,Dark Lane Demo Tapes,C#,major,C# major
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.577,0.571,1,-7.405,0,0.357,0.299,0,0.459,0.459,85.41,0zpcGwpkk1Vn2wvZP9XCF9,https://api.spotify.com/v1/audio-analysis/0zpcGwpkk1Vn2wvZP9XCF9,4,1,271183,FALSE,https://api.spotify.com/v1/tracks/0zpcGwpkk1Vn2wvZP9XCF9,FALSE,Losses,NA,11,track,spotify:track:0zpcGwpkk1Vn2wvZP9XCF9,https://open.spotify.com/track/0zpcGwpkk1Vn2wvZP9XCF9,Dark Lane Demo Tapes,C#,minor,C# minor
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.788,0.472,9,-7.864,1,0.176,0.803,2.59e-6,0.104,0.453,80.519,7FlgWcLOubhQXsSUChLMPL,https://api.spotify.com/v1/audio-analysis/7FlgWcLOubhQXsSUChLMPL,4,1,234782,FALSE,https://api.spotify.com/v1/tracks/7FlgWcLOubhQXsSUChLMPL,FALSE,From Florida With Love,NA,12,track,spotify:track:7FlgWcLOubhQXsSUChLMPL,https://open.spotify.com/track/7FlgWcLOubhQXsSUChLMPL,Dark Lane Demo Tapes,A,major,A major
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.505,0.762,0,-3.436,0,0.355,0.43,0,0.134,0.707,149.952,2FVsrYXCOdTVn7MTj0yupd,https://api.spotify.com/v1/audio-analysis/2FVsrYXCOdTVn7MTj0yupd,4,1,204805,FALSE,https://api.spotify.com/v1/tracks/2FVsrYXCOdTVn7MTj0yupd,FALSE,Demons (feat. Fivio Foreign & Sosa Geek),NA,13,track,spotify:track:2FVsrYXCOdTVn7MTj0yupd,https://open.spotify.com/track/2FVsrYXCOdTVn7MTj0yupd,Dark Lane Demo Tapes,C,minor,C minor
Drake,3TVXtAsR1Inumwj472S9r4,45c1tgTktunRMmfh3WVh8U,album,2020-05-01,2020,day,0.75,0.783,10,-4.183,0,0.0824,0.301,0,0.0959,0.249,144.034,51g4mohrWYmBO7s2V2OVWY,https://api.spotify.com/v1/audio-analysis/51g4mohrWYmBO7s2V2OVWY,4,1,180000,FALSE,https://api.spotify.com/v1/tracks/51g4mohrWYmBO7s2V2OVWY,FALSE,War,NA,14,track,spotify:track:51g4mohrWYmBO7s2V2OVWY,https://open.spotify.com/track/51g4mohrWYmBO7s2V2OVWY,Dark Lane Demo Tapes,A#,minor,A# minor
Drake,3TVXtAsR1Inumwj472S9r4,7dqpveMVcWgbzqYrOdkFTD,album,2019-08-02,2019,day,0.423,0.587,6,-6.635,1,0.529,0.765,0,0.114,0.33,180.331,1qyFlfPREPbRcS2BNszdYI,https://api.spotify.com/v1/audio-analysis/1qyFlfPREPbRcS2BNszdYI,4,1,253803,TRUE,https://api.spotify.com/v1/tracks/1qyFlfPREPbRcS2BNszdYI,FALSE,Dreams Money Can Buy,NA,1,track,spotify:track:1qyFlfPREPbRcS2BNszdYI,https://open.spotify.com/track/1qyFlfPREPbRcS2BNszdYI,Care Package,F#,major,F# major
