artist_name,artist_id,album_id,album_type,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,3W04W2HfQ5kVeByxfjbu2C,album,2020-08-28,2020,day,0.774,0.683,0,-9.717,1,0.0824,0.0301,0.0429,0.181,0.607,122.978,6I4jM8zkQVhWBlRWM72TZv,https://api.spotify.com/v1/audio-analysis/6I4jM8zkQVhWBlRWM72TZv,4,1,174240,FALSE,https://api.spotify.com/v1/tracks/6I4jM8zkQVhWBlRWM72TZv,FALSE,Future Nostalgia (Joe Goddard Remix) [Mixed],https://p.scdn.co/mp3-preview/326f25fa2365a9bb637659759c6cab47f1d38404?cid=7d579775eb7c4283b5e8a198fce27ec9,1,track,spotify:track:6I4jM8zkQVhWBlRWM72TZv,https://open.spotify.com/track/6I4jM8zkQVhWBlRWM72TZv,Club Future Nostalgia (DJ Mix),C,major,C major
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,3W04W2HfQ5kVeByxfjbu2C,album,2020-08-28,2020,day,0.785,0.788,1,-8.44,1,0.187,0.0399,6.8e-4,0.116,0.648,122.913,7uxUuFXMrFZnkgPWYVt2Co,https://api.spotify.com/v1/audio-analysis/7uxUuFXMrFZnkgPWYVt2Co,4,1,126373,FALSE,https://api.spotify.com/v1/tracks/7uxUuFXMrFZnkgPWYVt2Co,FALSE,Cool (Jayda G Remix) [Mixed],https://p.scdn.co/mp3-preview/b0659e6f4a802b5c751b4cc0eefdf7504c6212b1?cid=7d579775eb7c4283b5e8a198fce27ec9,2,track,spotify:track:7uxUuFXMrFZnkgPWYVt2Co,https://open.spotify.com/track/7uxUuFXMrFZnkgPWYVt2Co,Club Future Nostalgia (DJ Mix),C#,major,C# major
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,3W04W2HfQ5kVeByxfjbu2C,album,2020-08-28,2020,day,0.661,0.639,0,-7.31,1,0.268,0.0486,7.82e-5,0.578,0.379,93.888,1Q6rJb7E9F99NqZbqkJLOT,https://api.spotify.com/v1/audio-analysis/1Q6rJb7E9F99NqZbqkJLOT,4,1,238346,TRUE,https://api.spotify.com/v1/tracks/1Q6rJb7E9F99NqZbqkJLOT,FALSE,Good In Bed (Zach Witness & Gen Hoshino Remixes) [Mixed],https://p.scdn.co/mp3-preview/74131550e82ab7d95aaddf2eecfc11b14677368e?cid=7d579775eb7c4283b5e8a198fce27ec9,3,track,spotify:track:1Q6rJb7E9F99NqZbqkJLOT,https://open.spotify.com/track/1Q6rJb7E9F99NqZbqkJLOT,Club Future Nostalgia (DJ Mix),C,major,C major
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,3W04W2HfQ5kVeByxfjbu2C,album,2020-08-28,2020,day,0.927,0.729,1,-9.528,1,0.146,0.00594,3.09e-4,0.206,0.874,128.003,3n1vWk5ATCmw4116OfUFVl,https://api.spotify.com/v1/audio-analysis/3n1vWk5ATCmw4116OfUFVl,4,1,88813,FALSE,https://api.spotify.com/v1/tracks/3n1vWk5ATCmw4116OfUFVl,FALSE,Pretty Please (Midland Refix) [Mixed],https://p.scdn.co/mp3-preview/3f98f4f49ddabe47ad3b27b4d522c1b8ff22d30f?cid=7d579775eb7c4283b5e8a198fce27ec9,4,track,spotify:track:3n1vWk5ATCmw4116OfUFVl,https://open.spotify.com/track/3n1vWk5ATCmw4116OfUFVl,Club Future Nostalgia (DJ Mix),C#,major,C# major
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,3W04W2HfQ5kVeByxfjbu2C,album,2020-08-28,2020,day,0.795,0.899,1,-6.816,1,0.0427,0.0121,0.194,0.19,0.866,125.039,7IDA5SSrUNi5I4ehEyuWx2,https://api.spotify.com/v1/audio-analysis/7IDA5SSrUNi5I4ehEyuWx2,4,1,114386,FALSE,https://api.spotify.com/v1/tracks/7IDA5SSrUNi5I4ehEyuWx2,FALSE,Pretty Please (Masters at Work Remix) [Mixed],https://p.scdn.co/mp3-preview/c6e1a49969edfc39a09684ba4180be81ff8a671a?cid=7d579775eb7c4283b5e8a198fce27ec9,5,track,spotify:track:7IDA5SSrUNi5I4ehEyuWx2,https://open.spotify.com/track/7IDA5SSrUNi5I4ehEyuWx2,Club Future Nostalgia (DJ Mix),C#,major,C# major
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,3W04W2HfQ5kVeByxfjbu2C,album,2020-08-28,2020,day,0.85,0.821,10,-6.792,1,0.0562,0.0519,1.89e-4,0.0638,0.629,126.007,5yPaiCQYIDGKmGPlE7Yf0L,https://api.spotify.com/v1/audio-analysis/5yPaiCQYIDGKmGPlE7Yf0L,4,1,209746,FALSE,https://api.spotify.com/v1/tracks/5yPaiCQYIDGKmGPlE7Yf0L,FALSE,Boys Will Be Boys (Zach Witness Remix) [Mixed],https://p.scdn.co/mp3-preview/0ba3155cced7c2cab6eb6c2e26f9fc32a541214d?cid=7d579775eb7c4283b5e8a198fce27ec9,6,track,spotify:track:5yPaiCQYIDGKmGPlE7Yf0L,https://open.spotify.com/track/5yPaiCQYIDGKmGPlE7Yf0L,Club Future Nostalgia (DJ Mix),A#,major,A# major
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,3W04W2HfQ5kVeByxfjbu2C,album,2020-08-28,2020,day,0.783,0.84,1,-5.815,0,0.0487,0.00542,0.00599,0.0804,0.502,122.982,3QhQ1vVPeWjUQB01AXhKrT,https://api.spotify.com/v1/audio-analysis/3QhQ1vVPeWjUQB01AXhKrT,4,1,175693,FALSE,https://api.spotify.com/v1/tracks/3QhQ1vVPeWjUQB01AXhKrT,FALSE,Love Again (Horse Meat Disco Remix) [Mixed],https://p.scdn.co/mp3-preview/7f3bbea08cfd15e518717047872ed42f586a8570?cid=7d579775eb7c4283b5e8a198fce27ec9,7,track,spotify:track:3QhQ1vVPeWjUQB01AXhKrT,https://open.spotify.com/track/3QhQ1vVPeWjUQB01AXhKrT,Club Future Nostalgia (DJ Mix),C#,minor,C# minor
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,3W04W2HfQ5kVeByxfjbu2C,album,2020-08-28,2020,day,0.696,0.885,2,-7.279,1,0.0583,0.0697,0.0217,0.344,0.81,120.283,6oCGHGu19poEz8iF3ZXHrj,https://api.spotify.com/v1/audio-analysis/6oCGHGu19poEz8iF3ZXHrj,4,1,180040,FALSE,https://api.spotify.com/v1/tracks/6oCGHGu19poEz8iF3ZXHrj,FALSE,Break My Heart / Cosmic Girl (Dimitri From Paris Edit) [Mixed],https://p.scdn.co/mp3-preview/8d70984705930c22015964e2b714ff310f3bc8e4?cid=7d579775eb7c4283b5e8a198fce27ec9,8,track,spotify:track:6oCGHGu19poEz8iF3ZXHrj,https://open.spotify.com/track/6oCGHGu19poEz8iF3ZXHrj,Club Future Nostalgia (DJ Mix),D,major,D major
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,3W04W2HfQ5kVeByxfjbu2C,album,2020-08-28,2020,day,0.805,0.631,6,-9.056,0,0.17,0.0274,0,0.116,0.602,115.999,3fiCSQSEJrAP2NvPEuQnKm,https://api.spotify.com/v1/audio-analysis/3fiCSQSEJrAP2NvPEuQnKm,4,1,235813,FALSE,https://api.spotify.com/v1/tracks/3fiCSQSEJrAP2NvPEuQnKm,FALSE,Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix] [Mixed],https://p.scdn.co/mp3-preview/b8d76158e8faad2924254e8e3fe4c545903289a7?cid=7d579775eb7c4283b5e8a198fce27ec9,9,track,spotify:track:3fiCSQSEJrAP2NvPEuQnKm,https://open.spotify.com/track/3fiCSQSEJrAP2NvPEuQnKm,Club Future Nostalgia (DJ Mix),F#,minor,F# minor
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,3W04W2HfQ5kVeByxfjbu2C,album,2020-08-28,2020,day,0.57,0.641,9,-8.945,1,0.0425,0.0281,0.199,0.079,0.471,120.567,5xEXiB1tVK99iu27cbfRzU,https://api.spotify.com/v1/audio-analysis/5xEXiB1tVK99iu27cbfRzU,4,1,113000,FALSE,https://api.spotify.com/v1/tracks/5xEXiB1tVK99iu27cbfRzU,FALSE,Hallucinate (Mr Fingers deep stripped mix) [Mixed],https://p.scdn.co/mp3-preview/8addf14242d81fb2d449730237a885579e54c69e?cid=7d579775eb7c4283b5e8a198fce27ec9,10,track,spotify:track:5xEXiB1tVK99iu27cbfRzU,https://open.spotify.com/track/5xEXiB1tVK99iu27cbfRzU,Club Future Nostalgia (DJ Mix),A,major,A major
