artist_name,artist_id,album_id,album_type,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.406,0.67,0,-6.031,1,0.0295,0.394,1.49e-4,0.168,0.469,147.811,1v2g5Ffoi5yszMZpHF0ITH,https://api.spotify.com/v1/audio-analysis/1v2g5Ffoi5yszMZpHF0ITH,4,1,233426,FALSE,https://api.spotify.com/v1/tracks/1v2g5Ffoi5yszMZpHF0ITH,FALSE,L.A.,NA,1,track,spotify:track:1v2g5Ffoi5yszMZpHF0ITH,https://open.spotify.com/track/1v2g5Ffoi5yszMZpHF0ITH,Here On Earth,C,major,C major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.476,0.681,1,-5.031,1,0.0346,0.469,5.89e-6,0.0961,0.305,137.337,2hraRPvxWLARmaXY4l54MG,https://api.spotify.com/v1/audio-analysis/2hraRPvxWLARmaXY4l54MG,4,1,260053,FALSE,https://api.spotify.com/v1/tracks/2hraRPvxWLARmaXY4l54MG,FALSE,Chevy Spaceship,NA,2,track,spotify:track:2hraRPvxWLARmaXY4l54MG,https://open.spotify.com/track/2hraRPvxWLARmaXY4l54MG,Here On Earth,C#,major,C# major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.44,0.682,2,-6.885,1,0.0343,0.097,8.97e-6,0.0426,0.324,101.093,6oARVUWXiWceOYeijMwcvw,https://api.spotify.com/v1/audio-analysis/6oARVUWXiWceOYeijMwcvw,4,1,261200,FALSE,https://api.spotify.com/v1/tracks/6oARVUWXiWceOYeijMwcvw,FALSE,Here On Earth,NA,3,track,spotify:track:6oARVUWXiWceOYeijMwcvw,https://open.spotify.com/track/6oARVUWXiWceOYeijMwcvw,Here On Earth,D,major,D major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.435,0.628,1,-7.201,1,0.0285,0.286,2.55e-4,0.0816,0.425,160.106,65bhKPDv1fWYhqSj01NQqJ,https://api.spotify.com/v1/audio-analysis/65bhKPDv1fWYhqSj01NQqJ,4,1,252413,FALSE,https://api.spotify.com/v1/tracks/65bhKPDv1fWYhqSj01NQqJ,FALSE,Damn Sure Do,NA,4,track,spotify:track:65bhKPDv1fWYhqSj01NQqJ,https://open.spotify.com/track/65bhKPDv1fWYhqSj01NQqJ,Here On Earth,C#,major,C# major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.455,0.548,7,-6.144,1,0.0284,0.748,4.98e-4,0.0928,0.352,67.123,4vyHWzHzvh0dk8ZMYypLf4,https://api.spotify.com/v1/audio-analysis/4vyHWzHzvh0dk8ZMYypLf4,4,1,266746,FALSE,https://api.spotify.com/v1/tracks/4vyHWzHzvh0dk8ZMYypLf4,FALSE,Hallelujahville,NA,5,track,spotify:track:4vyHWzHzvh0dk8ZMYypLf4,https://open.spotify.com/track/4vyHWzHzvh0dk8ZMYypLf4,Here On Earth,G,major,G major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.646,0.717,5,-6.24,1,0.0426,0.00877,8.1e-5,0.129,0.935,127.982,09ulWjNT2O3rlYJCDZESBW,https://api.spotify.com/v1/audio-analysis/09ulWjNT2O3rlYJCDZESBW,4,1,227146,FALSE,https://api.spotify.com/v1/tracks/09ulWjNT2O3rlYJCDZESBW,FALSE,Good Taste In Women,NA,6,track,spotify:track:09ulWjNT2O3rlYJCDZESBW,https://open.spotify.com/track/09ulWjNT2O3rlYJCDZESBW,Here On Earth,F,major,F major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.507,0.766,8,-8.218,1,0.0311,0.262,0.00918,0.104,0.857,161.977,1Y5a2JUuCmmNrjmCe8p0h5,https://api.spotify.com/v1/audio-analysis/1Y5a2JUuCmmNrjmCe8p0h5,4,1,250333,FALSE,https://api.spotify.com/v1/tracks/1Y5a2JUuCmmNrjmCe8p0h5,FALSE,Hard To Stay Mad At,NA,7,track,spotify:track:1Y5a2JUuCmmNrjmCe8p0h5,https://open.spotify.com/track/1Y5a2JUuCmmNrjmCe8p0h5,Here On Earth,G#,major,G# major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.522,0.765,9,-5.016,1,0.0381,0.286,9.23e-6,0.124,0.44,132.027,5Y8FsARqBbtyCQSbukxBrN,https://api.spotify.com/v1/audio-analysis/5Y8FsARqBbtyCQSbukxBrN,4,1,200480,FALSE,https://api.spotify.com/v1/tracks/5Y8FsARqBbtyCQSbukxBrN,FALSE,Sheryl Crow,NA,8,track,spotify:track:5Y8FsARqBbtyCQSbukxBrN,https://open.spotify.com/track/5Y8FsARqBbtyCQSbukxBrN,Here On Earth,A,major,A major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.447,0.493,7,-6.324,1,0.026,0.679,2.37e-4,0.0994,0.31,139.361,7pQjViMgkZR8waP0Huf9ir,https://api.spotify.com/v1/audio-analysis/7pQjViMgkZR8waP0Huf9ir,4,1,181066,FALSE,https://api.spotify.com/v1/tracks/7pQjViMgkZR8waP0Huf9ir,FALSE,Not From California,NA,9,track,spotify:track:7pQjViMgkZR8waP0Huf9ir,https://open.spotify.com/track/7pQjViMgkZR8waP0Huf9ir,Here On Earth,G,major,G major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.246,0.664,2,-6.318,1,0.0452,0.0883,2.29e-5,0.23,0.366,168.135,2BncP6SLa8eY7zoPpFSMqy,https://api.spotify.com/v1/audio-analysis/2BncP6SLa8eY7zoPpFSMqy,4,1,236826,FALSE,https://api.spotify.com/v1/tracks/2BncP6SLa8eY7zoPpFSMqy,FALSE,Hold You Tonight,NA,10,track,spotify:track:2BncP6SLa8eY7zoPpFSMqy,https://open.spotify.com/track/2BncP6SLa8eY7zoPpFSMqy,Here On Earth,D,major,D major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.528,0.718,7,-6.954,1,0.0337,0.1,0,0.304,0.51,155.759,7A4WmJcWx6KrVRfQ2CP8e7,https://api.spotify.com/v1/audio-analysis/7A4WmJcWx6KrVRfQ2CP8e7,4,1,221400,FALSE,https://api.spotify.com/v1/tracks/7A4WmJcWx6KrVRfQ2CP8e7,FALSE,7500 OBO,NA,11,track,spotify:track:7A4WmJcWx6KrVRfQ2CP8e7,https://open.spotify.com/track/7A4WmJcWx6KrVRfQ2CP8e7,Here On Earth,G,major,G major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.434,0.804,2,-5.537,1,0.0521,0.481,0.042,0.0715,0.391,143.698,7sLbBoWshDkxWafKGPFFTA,https://api.spotify.com/v1/audio-analysis/7sLbBoWshDkxWafKGPFFTA,4,1,233546,FALSE,https://api.spotify.com/v1/tracks/7sLbBoWshDkxWafKGPFFTA,FALSE,If I Was A Cowboy,NA,12,track,spotify:track:7sLbBoWshDkxWafKGPFFTA,https://open.spotify.com/track/7sLbBoWshDkxWafKGPFFTA,Here On Earth,D,major,D major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.499,0.619,2,-7.054,1,0.0339,0.571,4.82e-6,0.148,0.514,86.185,2oWuBmQtYMx3LEgahIsJvs,https://api.spotify.com/v1/audio-analysis/2oWuBmQtYMx3LEgahIsJvs,4,1,212146,FALSE,https://api.spotify.com/v1/tracks/2oWuBmQtYMx3LEgahIsJvs,FALSE,I Called Mama,NA,13,track,spotify:track:2oWuBmQtYMx3LEgahIsJvs,https://open.spotify.com/track/2oWuBmQtYMx3LEgahIsJvs,Here On Earth,D,major,D major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.598,0.465,4,-8.698,0,0.028,0.59,5.45e-6,0.135,0.222,121.952,6fEoYlwD3VLoPOJhyE8AiB,https://api.spotify.com/v1/audio-analysis/6fEoYlwD3VLoPOJhyE8AiB,3,1,216133,FALSE,https://api.spotify.com/v1/tracks/6fEoYlwD3VLoPOJhyE8AiB,FALSE,Gravy,NA,14,track,spotify:track:6fEoYlwD3VLoPOJhyE8AiB,https://open.spotify.com/track/6fEoYlwD3VLoPOJhyE8AiB,Here On Earth,E,minor,E minor
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.381,0.408,1,-10.415,1,0.0291,0.869,2.73e-4,0.109,0.275,78.112,2k5Newgj3syZcu9A2A0tQG,https://api.spotify.com/v1/audio-analysis/2k5Newgj3syZcu9A2A0tQG,4,1,234566,FALSE,https://api.spotify.com/v1/tracks/2k5Newgj3syZcu9A2A0tQG,FALSE,War Of Art,NA,15,track,spotify:track:2k5Newgj3syZcu9A2A0tQG,https://open.spotify.com/track/2k5Newgj3syZcu9A2A0tQG,Here On Earth,C#,major,C# major
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1txWLNMKiZ5K6ezFMtyjLM,album,2020-08-21,2020,day,0.63,0.541,1,-7.397,1,0.0289,0.404,2.47e-5,0.108,0.341,121.269,63EUevAc6Dxy0EcKucRPpA,https://api.spotify.com/v1/audio-analysis/63EUevAc6Dxy0EcKucRPpA,4,1,214210,FALSE,https://api.spotify.com/v1/tracks/63EUevAc6Dxy0EcKucRPpA,FALSE,Doggone,NA,16,track,spotify:track:63EUevAc6Dxy0EcKucRPpA,https://open.spotify.com/track/63EUevAc6Dxy0EcKucRPpA,Here On Earth,C#,major,C# major
