artist_name,artist_id,album_id,album_type,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2Xoteh7uEpea4TohMxjtaq,album,2020-12-11,2020,day,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,0lx2cLdOt3piJbcaXIV74f,https://api.spotify.com/v1/audio-analysis/0lx2cLdOt3piJbcaXIV74f,4,1,214706,FALSE,https://api.spotify.com/v1/tracks/0lx2cLdOt3piJbcaXIV74f,FALSE,willow,NA,1,track,spotify:track:0lx2cLdOt3piJbcaXIV74f,https://open.spotify.com/track/0lx2cLdOt3piJbcaXIV74f,evermore,G,major,G major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2Xoteh7uEpea4TohMxjtaq,album,2020-12-11,2020,day,0.462,0.24,0,-12.077,1,0.0377,0.92,0,0.113,0.32,171.319,0sY6ZUTh4yoctD8VIXz339,https://api.spotify.com/v1/audio-analysis/0sY6ZUTh4yoctD8VIXz339,4,1,244000,TRUE,https://api.spotify.com/v1/tracks/0sY6ZUTh4yoctD8VIXz339,FALSE,champagne problems,NA,2,track,spotify:track:0sY6ZUTh4yoctD8VIXz339,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339,evermore,C,major,C major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2Xoteh7uEpea4TohMxjtaq,album,2020-12-11,2020,day,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,5BK0uqwY9DNfZ630STAEaq,https://api.spotify.com/v1/audio-analysis/5BK0uqwY9DNfZ630STAEaq,4,1,185320,TRUE,https://api.spotify.com/v1/tracks/5BK0uqwY9DNfZ630STAEaq,FALSE,gold rush,NA,3,track,spotify:track:5BK0uqwY9DNfZ630STAEaq,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq,evermore,A,major,A major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2Xoteh7uEpea4TohMxjtaq,album,2020-12-11,2020,day,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-5,0.105,0.348,145.916,7dW84mWkdWE5a6lFWxJCBG,https://api.spotify.com/v1/audio-analysis/7dW84mWkdWE5a6lFWxJCBG,4,1,229840,FALSE,https://api.spotify.com/v1/tracks/7dW84mWkdWE5a6lFWxJCBG,FALSE,‘tis the damn season,NA,4,track,spotify:track:7dW84mWkdWE5a6lFWxJCBG,https://open.spotify.com/track/7dW84mWkdWE5a6lFWxJCBG,evermore,F,major,F major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2Xoteh7uEpea4TohMxjtaq,album,2020-12-11,2020,day,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-5,0.0797,0.221,74.952,0PurA4JVJ8YQgSVopY8fn6,https://api.spotify.com/v1/audio-analysis/0PurA4JVJ8YQgSVopY8fn6,5,1,245440,TRUE,https://api.spotify.com/v1/tracks/0PurA4JVJ8YQgSVopY8fn6,FALSE,tolerate it,NA,5,track,spotify:track:0PurA4JVJ8YQgSVopY8fn6,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6,evermore,A,major,A major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2Xoteh7uEpea4TohMxjtaq,album,2020-12-11,2020,day,0.546,0.613,7,-7.589,0,0.0264,0.418,0,0.103,0.535,79.015,3RaT22zZsxVYxxKR7TAaYF,https://api.spotify.com/v1/audio-analysis/3RaT22zZsxVYxxKR7TAaYF,4,1,215626,FALSE,https://api.spotify.com/v1/tracks/3RaT22zZsxVYxxKR7TAaYF,FALSE,"no body, no crime (feat. HAIM)",NA,6,track,spotify:track:3RaT22zZsxVYxxKR7TAaYF,https://open.spotify.com/track/3RaT22zZsxVYxxKR7TAaYF,evermore,G,minor,G minor
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2Xoteh7uEpea4TohMxjtaq,album,2020-12-11,2020,day,0.559,0.334,11,-10.733,1,0.0376,0.87,0,0.114,0.211,122.079,73YUReisjb3A9ActdLLjJQ,https://api.spotify.com/v1/audio-analysis/73YUReisjb3A9ActdLLjJQ,4,1,315146,TRUE,https://api.spotify.com/v1/tracks/73YUReisjb3A9ActdLLjJQ,FALSE,happiness,NA,7,track,spotify:track:73YUReisjb3A9ActdLLjJQ,https://open.spotify.com/track/73YUReisjb3A9ActdLLjJQ,evermore,B,major,B major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2Xoteh7uEpea4TohMxjtaq,album,2020-12-11,2020,day,0.605,0.488,4,-8.322,1,0.0264,0.696,0,0.129,0.354,119.966,670fUmXf4KQekzbEgaXyPA,https://api.spotify.com/v1/audio-analysis/670fUmXf4KQekzbEgaXyPA,4,1,225880,FALSE,https://api.spotify.com/v1/tracks/670fUmXf4KQekzbEgaXyPA,FALSE,dorothea,NA,8,track,spotify:track:670fUmXf4KQekzbEgaXyPA,https://open.spotify.com/track/670fUmXf4KQekzbEgaXyPA,evermore,E,major,E major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2Xoteh7uEpea4TohMxjtaq,album,2020-12-11,2020,day,0.537,0.537,8,-11.266,1,0.0617,0.819,9.04e-4,0.142,0.292,107.895,3k7ne7VmH43ZPWxPdvPUgR,https://api.spotify.com/v1/audio-analysis/3k7ne7VmH43ZPWxPdvPUgR,4,1,275320,FALSE,https://api.spotify.com/v1/tracks/3k7ne7VmH43ZPWxPdvPUgR,FALSE,coney island (feat. The National),NA,9,track,spotify:track:3k7ne7VmH43ZPWxPdvPUgR,https://open.spotify.com/track/3k7ne7VmH43ZPWxPdvPUgR,evermore,G#,major,G# major
Taylor Swift,06HL4z0CvFAxyc27GXpf02,2Xoteh7uEpea4TohMxjtaq,album,2020-12-11,2020,day,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97e-5,0.0921,0.535,88.856,19CSr8rwW05VJL2F91KFNK,https://api.spotify.com/v1/audio-analysis/19CSr8rwW05VJL2F91KFNK,4,1,260440,TRUE,https://api.spotify.com/v1/tracks/19CSr8rwW05VJL2F91KFNK,FALSE,ivy,NA,10,track,spotify:track:19CSr8rwW05VJL2F91KFNK,https://open.spotify.com/track/19CSr8rwW05VJL2F91KFNK,evermore,D,major,D major
